Exp_Vac,Exp_Unv,Inf_Vac,Inf_Unv,DailyVE
38976,49581,11,102,0.15248438639820827
38959,49475,17,106,0.15309310892394856
38945,49371,14,104,0.1536994206389924
38934,49277,11,94,0.15430334996209186
38920,49189,14,88,0.15490492475801326
38911,49087,9,102,0.15550417235253722
38901,48980,10,107,0.15610111954694464
38891,48856,10,124,0.15669579263200212
38866,48772,25,84,0.157288217401474
38850,48674,16,98,0.15787841916517653
38834,48574,16,100,0.15846642276159692
38820,48466,14,108,0.1590522525700882
38804,48361,16,105,0.15963593252266517
38793,48263,11,98,0.16021748611541395
38775,48147,18,116,0.16079693641952528
38764,48047,11,100,0.16137430609197584
38754,47958,10,89,0.1619496173858668
38743,47876,11,82,0.16252289216042906
38732,47782,11,94,0.1630941518907172
38722,47695,10,87,0.16366341767699424
38704,47608,18,87,0.16423071025382632
38687,47535,17,73,0.1647960499988946
38665,47444,22,91,0.1653594569415367
38655,47336,10,108,0.16592095077102811
38642,47234,13,102,0.166480550844607
38628,47142,14,92,0.1670382761952653
38612,47042,16,100,0.16759414553929902
38593,46951,19,91,0.16814817728363712
38583,46854,10,97,0.1687003895329569
38561,46750,22,104,0.16925080009658275
38551,46658,10,92,0.16979942649518956
38532,46569,19,89,0.17034628596731138
38520,46491,12,78,0.17089139547566176
38498,46399,22,92,0.17143477171326998
38481,46290,17,109,0.17197643110944838
38464,46192,17,98,0.17251638983558842
38441,46104,23,88,0.17305466381079343
38419,46018,22,86,0.17359126870735334
38409,45924,10,94,0.1741262199560722
38394,45834,15,90,0.17465953275144294
38373,45731,21,103,0.17519122205668403
38354,45641,19,90,0.17572130260863725
38329,45554,25,87,0.17624978892253498
38308,45447,21,107,0.17677669529663675
38284,45366,24,81,0.17730203581674378
38266,45267,18,99,0.17782582436059086
38262,45191,4,76,0.17834807460212668
38244,45104,18,87,0.17886880001567515
38218,45018,26,86,0.17938801387999534
38209,44935,9,83,0.1799057292822311
38194,44853,15,82,0.18042195912175804
38183,44774,11,79,0.18093671611393639
